"time","irradiance_ghi","ambient_temp","cloud_cover_pct","wind_speed","humidity_pct","city","cell_temp","dc_power_w","ac_power_w","ac_power_kw","hour","month","day_of_year","is_day","day","is_daytime","Predicted_Power","Prediction_Error"
2023-01-01,0,24.5,0,5.6,85,"Chennai",24.5,0,0,0,0,1,1,0,1,0,-2.07495132187319e-15,2.07495132187319e-15
2023-01-01 01:00:00,0,23.9,0,4.5,89,"Chennai",23.9,0,0,0,1,1,1,0,1,0,-2.3809565430355e-15,2.3809565430355e-15
2023-01-01 02:00:00,0,22.8,2,2.5,96,"Chennai",22.8,0,0,0,2,1,1,0,1,0,-2.55298560070116e-15,2.55298560070116e-15
2023-01-01 03:00:00,0,21.9,100,1.8,98,"Chennai",21.9,0,0,0,3,1,1,0,1,0,-2.57910359735547e-15,2.57910359735547e-15
2023-01-01 04:00:00,0,21.4,100,2.9,97,"Chennai",21.4,0,0,0,4,1,1,0,1,0,-2.59139931735319e-15,2.59139931735319e-15
2023-01-01 05:00:00,0,21.3,100,4,95,"Chennai",21.3,0,0,0,5,1,1,0,1,0,-2.63322696980595e-15,2.63322696980595e-15
2023-01-01 06:00:00,0,21.6,99,5.1,94,"Chennai",21.6,0,0,0,6,1,1,0,1,1,-1.54881663050332e-15,1.54881663050332e-15
2023-01-01 07:00:00,40,22,100,7.7,96,"Chennai",23.25,12.8896,12.374016,0.012374016,7,1,1,1,1,1,0.012411270257408,3.72542574080016e-05
2023-01-01 08:00:00,157,23,58,6.6,94,"Chennai",27.90625,49.65596,47.6697216,0.0476697216,8,1,1,1,1,1,0.047616849827328,5.28717726720127e-05
2023-01-01 09:00:00,295,25,70,3.6,84,"Chennai",34.21875,90.919,87.28224,0.08728224,9,1,1,1,1,1,0.087275513701632,6.7262983680233e-06
2023-01-01 10:00:00,532,26.5,81,1.6,77,"Chennai",43.125,157.8976,151.581696,0.151581696,10,1,1,1,1,1,0.1514947662464,8.69297536000846e-05
2023-01-01 11:00:00,761,27.6,13,0.4,71,"Chennai",51.38125,217.822552,209.10964992,0.20910964992,11,1,1,1,1,1,0.209111961542912,2.31162291178255e-06
2023-01-01 12:00:00,816,28.2,82,2.9,67,"Chennai",53.7,231.143424,221.89768704,0.22189768704,12,1,1,1,1,1,0.221801577738496,9.61093015042491e-05
2023-01-01 13:00:00,798,28.5,94,5.1,64,"Chennai",53.4375,226.3128,217.260288,0.217260288,13,1,1,1,1,1,0.217307226743808,4.69387438083169e-05
2023-01-01 14:00:00,706,28.5,94,6.9,65,"Chennai",50.5625,202.81968,194.7068928,0.1947068928,14,1,1,1,1,1,0.1946776680256,2.92247744002605e-05
2023-01-01 15:00:00,550,27.8,86,10.5,69,"Chennai",44.9875,161.9288,155.451648,0.155451648,15,1,1,1,1,1,0.155479228001024,2.7580001024069e-05
2023-01-01 16:00:00,347,26.5,70,13,74,"Chennai",37.34375,105.5574,101.335104,0.101335104,16,1,1,1,1,1,0.101446239216128,0.000111135216128086
